,MaterialID,StateID,DropItem,Location_X,Location_Y,Location_Z,Rotate_X,Rotate_Y,Rotate_Z,Scale_X,Scale_Y,Scale_Z
1,Question,Question,None,1000,1560,600,0,0,0,1,1,1
2,brick_block_Mat,Break,None,1000,1960,600,0,0,0,1,1,1
3,Question,Question,SuperMush,1000,2060,600,0,0,0,1,1,1
4,brick_block_Mat,Break,None,1000,2160,600,0,0,0,1,1,1
5,Question,Question,None,1000,2260,600,0,0,0,1,1,1
6,brick_block_Mat,Break,None,1000,2360,600,0,0,0,1,1,1
7,Question,Question,None,1000,2160,1000,0,0,0,1,1,1
8,transmission,Question,None,1000,6360,700,0,0,0,1,1,1
9,Question,Question,SuperMush,1000,7860,600,0,0,0,1,1,1
10,brick_block_Mat,Break,None,1000,16860,600,0,0,0,1,1,1
11,brick_block_Mat,Break,None,1000,16960,600,0,0,0,1,1,1
12,Question,Question,None,1000,17060,600,0,0,0,1,1,1
13,brick_block_Mat,Break,None,1000,17160,600,0,0,0,1,1,1
14,brick_block_Mat,Break,None,1000,7760,600,0,0,0,1,1,1
15,brick_block_Mat,Break,None,1000,7960,600,0,0,0,1,1,1
16,brick_block_Mat,Break,None,1000,8060,1000,0,0,0,1,1,1
17,brick_block_Mat,Break,None,1000,8160,1000,0,0,0,1,1,1
18,brick_block_Mat,Break,None,1000,8260,1000,0,0,0,1,1,1
19,brick_block_Mat,Break,None,1000,8360,1000,0,0,0,1,1,1
20,brick_block_Mat,Break,None,1000,8460,1000,0,0,0,1,1,1
21,brick_block_Mat,Break,None,1000,8560,1000,0,0,0,1,1,1
22,brick_block_Mat,Break,None,1000,8660,1000,0,0,0,1,1,1
23,brick_block_Mat,Break,None,1000,8760,1000,0,0,0,1,1,1
24,brick_block_Mat,Break,None,1000,9160,1000,0,0,0,1,1,1
25,brick_block_Mat,Break,None,1000,9260,1000,0,0,0,1,1,1
26,brick_block_Mat,Break,None,1000,9360,1000,0,0,0,1,1,1
27,brick_block_Mat,Break,None,1000,9460,600,0,0,0,1,1,1
28,Question,Question,None,1000,9460,1000,0,0,0,1,1,1
29,brick_block_Mat,Break,None,1000,10160,600,0,0,0,1,1,1
30,brick_block_Mat,Break,None,1000,10260,600,0,0,0,1,1,1
31,Question,Question,None,1000,10760,600,0,0,0,1,1,1
32,Question,Question,None,1000,11060,600,0,0,0,1,1,1
33,Question,Question,SuperMush,1000,11060,1000,0,0,0,1,1,1
34,Question,Question,None,1000,11360,600,0,0,0,1,1,1
35,brick_block_Mat,Break,None,1000,11960,600,0,0,0,1,1,1
36,brick_block_Mat,Break,None,1000,12260,1000,0,0,0,1,1,1
37,brick_block_Mat,Break,None,1000,12360,1000,0,0,0,1,1,1
38,brick_block_Mat,Break,None,1000,12460,1000,0,0,0,1,1,1
39,brick_block_Mat,Break,None,1000,13160,1000,0,0,0,1,1,1
40,brick_block_Mat,Break,None,1000,12960,1000,0,0,0,1,1,1
41,brick_block_Mat,Break,None,1000,13060,600,0,0,0,1,1,1
42,Question,Question,None,1000,13060,1000,0,0,0,1,1,1
43,brick_block_Mat,Break,None,1000,13160,600,0,0,0,1,1,1
44,Question,Question,None,1000,13160,1000,0,0,0,1,1,1
45,brick_block_Mat,Break,None,1000,13260,1000,0,0,0,1,1,1
