,blockname,material,positionX,positionY,positionZ,rotationX,rotationY,rotationZ,sizeX,sizeY,sizeZ
1,地面ブロック,tutiBlock,1000,-40,100,0,0,0,1,1,1
2,地面ブロック,tutiBlock,1000,60,100,0,0,0,1,1,1
3,地面ブロック,tutiBlock,1000,160,100,0,0,0,1,1,1
4,地面ブロック,tutiBlock,1000,260,100,0,0,0,1,1,1
5,地面ブロック,tutiBlock,1000,360,100,0,0,0,1,1,1
6,地面ブロック,tutiBlock,1000,460,100,0,0,0,1,1,1
7,地面ブロック,tutiBlock,1000,560,100,0,0,0,1,1,1
8,地面ブロック,tutiBlock,1000,660,100,0,0,0,1,1,1
9,地面ブロック,tutiBlock,1000,760,100,0,0,0,1,1,1
10,地面ブロック,tutiBlock,1000,860,100,0,0,0,1,1,1
11,地面ブロック,tutiBlock,1000,960,100,0,0,0,1,1,1
12,地面ブロック,tutiBlock,1000,1060,100,0,0,0,1,1,1
13,地面ブロック,tutiBlock,1000,1160,100,0,0,0,1,1,1
14,地面ブロック,tutiBlock,1000,1260,100,0,0,0,1,1,1
15,地面ブロック,tutiBlock,1000,1360,100,0,0,0,1,1,1
16,地面ブロック,tutiBlock,1000,1460,100,0,0,0,1,1,1
17,地面ブロック,tutiBlock,1000,1560,100,0,0,0,1,1,1
18,地面ブロック,tutiBlock,1000,1660,100,0,0,0,1,1,1
19,地面ブロック,tutiBlock,1000,1760,100,0,0,0,1,1,1
20,地面ブロック,tutiBlock,1000,1860,100,0,0,0,1,1,1
21,地面ブロック,tutiBlock,1000,1960,100,0,0,0,1,1,1
22,地面ブロック,tutiBlock,1000,2060,100,0,0,0,1,1,1
23,地面ブロック,tutiBlock,1000,2160,100,0,0,0,1,1,1
24,地面ブロック,tutiBlock,1000,2260,100,0,0,0,1,1,1
25,地面ブロック,tutiBlock,1000,2360,100,0,0,0,1,1,1
26,地面ブロック,tutiBlock,1000,2460,100,0,0,0,1,1,1
27,地面ブロック,tutiBlock,1000,2560,100,0,0,0,1,1,1
28,地面ブロック,tutiBlock,1000,2660,100,0,0,0,1,1,1
